5094,32768,0
6994,262144,1
279509,8388608,2
1.25766e+07,268435456,3
982,32768,0
5960,262144,1
477694,8388608,2
1.18185e+07,268435456,3
932,32768,0
5485,262144,1
444637,8388608,2
1.19662e+07,268435456,3
933,32768,0
5487,262144,1
438675,8388608,2
1.21744e+07,268435456,3
930,32768,0
7312,262144,1
406267,8388608,2
1.1802e+07,268435456,3
937,32768,0
5489,262144,1
437001,8388608,2
1.1792e+07,268435456,3
724,32768,0
5490,262144,1
452016,8388608,2
1.20011e+07,268435456,3
940,32768,0
7361,262144,1
411853,8388608,2
1.18872e+07,268435456,3
917,32768,0
7469,262144,1
488433,8388608,2
1.17535e+07,268435456,3
918,32768,0
7484,262144,1
396699,8388608,2
1.14438e+07,268435456,3
919,32768,0
5364,262144,1
381302,8388608,2
1.26481e+07,268435456,3
940,32768,0
5489,262144,1
410735,8388608,2
1.20181e+07,268435456,3
713,32768,0
7365,262144,1
404704,8388608,2
1.1847e+07,268435456,3
728,32768,0
5494,262144,1
392285,8388608,2
1.17993e+07,268435456,3
910,32768,0
5487,262144,1
408606,8388608,2
1.19192e+07,268435456,3
918,32768,0
5479,262144,1
404194,8388608,2
1.21889e+07,268435456,3
801,32768,0
5486,262144,1
399527,8388608,2
1.18286e+07,268435456,3
957,32768,0
5800,262144,1
429829,8388608,2
1.19251e+07,268435456,3
931,32768,0
5486,262144,1
403396,8388608,2
1.19784e+07,268435456,3
796,32768,0
6602,262144,1
424459,8388608,2
1.14943e+07,268435456,3
913,32768,0
7438,262144,1
418543,8388608,2
1.1443e+07,268435456,3
917,32768,0
7087,262144,1
386298,8388608,2
1.25629e+07,268435456,3
706,32768,0
7410,262144,1
404769,8388608,2
1.18548e+07,268435456,3
915,32768,0
7078,262144,1
452146,8388608,2
1.18524e+07,268435456,3
933,32768,0
5539,262144,1
404399,8388608,2
1.1855e+07,268435456,3
946,32768,0
5500,262144,1
402340,8388608,2
1.17933e+07,268435456,3
713,32768,0
5485,262144,1
413973,8388608,2
1.18543e+07,268435456,3
710,32768,0
6991,262144,1
404467,8388608,2
1.1878e+07,268435456,3
976,32768,0
7973,262144,1
412243,8388608,2
1.19253e+07,268435456,3
955,32768,0
7473,262144,1
443219,8388608,2
1.1629e+07,268435456,3
697,32768,0
7095,262144,1
432087,8388608,2
1.13483e+07,268435456,3
910,32768,0
5363,262144,1
416005,8388608,2
1.24404e+07,268435456,3
765,32768,0
5892,262144,1
450645,8388608,2
1.20043e+07,268435456,3
960,32768,0
5749,262144,1
549043,8388608,2
1.17951e+07,268435456,3
859,32768,0
5745,262144,1
538590,8388608,2
1.66499e+07,268435456,3
810,32768,0
5616,262144,1
426236,8388608,2
1.19872e+07,268435456,3
793,32768,0
5619,262144,1
536853,8388608,2
1.23757e+07,268435456,3
935,32768,0
5912,262144,1
417402,8388608,2
1.26008e+07,268435456,3
928,32768,0
6550,262144,1
414725,8388608,2
1.49192e+07,268435456,3
820,32768,0
7824,262144,1
399586,8388608,2
1.17107e+07,268435456,3
712,32768,0
7436,262144,1
434852,8388608,2
1.14353e+07,268435456,3
917,32768,0
7023,262144,1
442515,8388608,2
1.70764e+07,268435456,3
795,32768,0
5503,262144,1
441711,8388608,2
1.49497e+07,268435456,3
889,32768,0
7780,262144,1
471519,8388608,2
1.20911e+07,268435456,3
796,32768,0
5495,262144,1
389140,8388608,2
1.18358e+07,268435456,3
933,32768,0
7276,262144,1
448071,8388608,2
1.18599e+07,268435456,3
933,32768,0
5489,262144,1
453659,8388608,2
1.18383e+07,268435456,3
933,32768,0
7319,262144,1
400070,8388608,2
1.18645e+07,268435456,3
929,32768,0
5496,262144,1
405169,8388608,2
1.19318e+07,268435456,3
716,32768,0
5498,262144,1
438699,8388608,2
1.16967e+07,268435456,3
913,32768,0
5366,262144,1
380736,8388608,2
1.13761e+07,268435456,3
913,32768,0
5657,262144,1
381060,8388608,2
1.18359e+07,268435456,3
768,32768,0
5503,262144,1
396704,8388608,2
1.21283e+07,268435456,3
932,32768,0
5619,262144,1
400462,8388608,2
1.21333e+07,268435456,3
931,32768,0
5500,262144,1
403619,8388608,2
1.18635e+07,268435456,3
727,32768,0
5624,262144,1
403442,8388608,2
1.53251e+07,268435456,3
798,32768,0
5499,262144,1
656300,8388608,2
1.49752e+07,268435456,3
789,32768,0
5493,262144,1
419042,8388608,2
1.19433e+07,268435456,3
1173,32768,0
7224,262144,1
401972,8388608,2
1.17659e+07,268435456,3
914,32768,0
7336,262144,1
399265,8388608,2
1.1785e+07,268435456,3
724,32768,0
5480,262144,1
441731,8388608,2
1.14356e+07,268435456,3
704,32768,0
7342,262144,1
401623,8388608,2
1.16456e+07,268435456,3
914,32768,0
7525,262144,1
424449,8388608,2
1.19785e+07,268435456,3
711,32768,0
7460,262144,1
429064,8388608,2
1.19521e+07,268435456,3
785,32768,0
5488,262144,1
392524,8388608,2
1.18633e+07,268435456,3
932,32768,0
7404,262144,1
404881,8388608,2
1.19213e+07,268435456,3
787,32768,0
7411,262144,1
423106,8388608,2
1.1991e+07,268435456,3
791,32768,0
5506,262144,1
404963,8388608,2
1.19008e+07,268435456,3
800,32768,0
5742,262144,1
390734,8388608,2
1.18154e+07,268435456,3
930,32768,0
5497,262144,1
421208,8388608,2
1.18229e+07,268435456,3
934,32768,0
7345,262144,1
405480,8388608,2
1.17751e+07,268435456,3
914,32768,0
5361,262144,1
388807,8388608,2
1.43729e+07,268435456,3
1208,32768,0
5609,262144,1
449127,8388608,2
1.577e+07,268435456,3
784,32768,0
5632,262144,1
735956,8388608,2
1.55397e+07,268435456,3
789,32768,0
5490,262144,1
490967,8388608,2
1.47401e+07,268435456,3
784,32768,0
6882,262144,1
568898,8388608,2
1.23962e+07,268435456,3
936,32768,0
5489,262144,1
400581,8388608,2
1.2185e+07,268435456,3
719,32768,0
7255,262144,1
402581,8388608,2
1.19873e+07,268435456,3
932,32768,0
5504,262144,1
399265,8388608,2
1.19531e+07,268435456,3
935,32768,0
7235,262144,1
397573,8388608,2
1.2045e+07,268435456,3
710,32768,0
5498,262144,1
407093,8388608,2
1.29179e+07,268435456,3
907,32768,0
5892,262144,1
598598,8388608,2
1.32702e+07,268435456,3
816,32768,0
5753,262144,1
739668,8388608,2
1.29133e+07,268435456,3
789,32768,0
7493,262144,1
401800,8388608,2
1.18779e+07,268435456,3
789,32768,0
5483,262144,1
516343,8388608,2
1.21191e+07,268435456,3
940,32768,0
5482,262144,1
538147,8388608,2
1.27408e+07,268435456,3
786,32768,0
5492,262144,1
419270,8388608,2
1.23093e+07,268435456,3
697,32768,0
7465,262144,1
441500,8388608,2
1.51021e+07,268435456,3
921,32768,0
8070,262144,1
749506,8388608,2
1.24407e+07,268435456,3
714,32768,0
5486,262144,1
404696,8388608,2
1.19115e+07,268435456,3
932,32768,0
5496,262144,1
395738,8388608,2
1.2179e+07,268435456,3
912,32768,0
5489,262144,1
413146,8388608,2
1.19498e+07,268435456,3
713,32768,0
7146,262144,1
429871,8388608,2
1.22846e+07,268435456,3
710,32768,0
5481,262144,1
476443,8388608,2
1.23432e+07,268435456,3
937,32768,0
7127,262144,1
399379,8388608,2
1.3966e+07,268435456,3
713,32768,0
5500,262144,1
417269,8388608,2
1.29702e+07,268435456,3
786,32768,0
8764,262144,1
445753,8388608,2
1.32737e+07,268435456,3
766,32768,0
5629,262144,1
434145,8388608,2
1.32923e+07,268435456,3
837,32768,0
7030,262144,1
467357,8388608,2
1.44962e+07,268435456,3
805,32768,0
5763,262144,1
402606,8388608,2
1.24203e+07,268435456,3
711,32768,0
5500,262144,1
409496,8388608,2
1.19609e+07,268435456,3
926,32768,0
5482,262144,1
440055,8388608,2
1.19022e+07,268435456,3
696,32768,0
5485,262144,1
399755,8388608,2
1.25084e+07,268435456,3
939,32768,0
5491,262144,1
421279,8388608,2
1.21204e+07,268435456,3
720,32768,0
7004,262144,1
468911,8388608,2
1.18418e+07,268435456,3
941,32768,0
7338,262144,1
404459,8388608,2
1.18767e+07,268435456,3
936,32768,0
5481,262144,1
419644,8388608,2
1.25355e+07,268435456,3
934,32768,0
7510,262144,1
397851,8388608,2
1.26134e+07,268435456,3
723,32768,0
7263,262144,1
398220,8388608,2
1.20029e+07,268435456,3
723,32768,0
7408,262144,1
441201,8388608,2
1.19782e+07,268435456,3
926,32768,0
5496,262144,1
461933,8388608,2
1.15184e+07,268435456,3
940,32768,0
7368,262144,1
416305,8388608,2
1.17964e+07,268435456,3
710,32768,0
7487,262144,1
428418,8388608,2
1.18233e+07,268435456,3
711,32768,0
5490,262144,1
396941,8388608,2
1.17694e+07,268435456,3
725,32768,0
5500,262144,1
475087,8388608,2
1.17651e+07,268435456,3
929,32768,0
7256,262144,1
449060,8388608,2
1.18829e+07,268435456,3
937,32768,0
7132,262144,1
430896,8388608,2
1.19836e+07,268435456,3
931,32768,0
6872,262144,1
432742,8388608,2
1.28483e+07,268435456,3
933,32768,0
7071,262144,1
400945,8388608,2
1.201e+07,268435456,3
794,32768,0
5496,262144,1
436307,8388608,2
